Framework | Strategy  | Status    | Cost      | Depth     | Nodes(exp)| Nodes(gen)| Runtime   | start     | goal      | Problem             | Solution            
graph     | a-star    | Success   | 39.000000 | 39        | 40        | 122       | 0.0012    | (123, 183)| (123, 144)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 39.430000 | 30        | 208       | 315       | 0.0062    | (136, 165)| (166, 142)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 36.640000 | 35        | 166       | 252       | 0.0048    | (104, 66) | (100, 101)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 38.560000 | 32        | 211       | 302       | 0.006     | (120, 106)| (100, 84) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 37.050000 | 35        | 194       | 282       | 0.0057    | (120, 65) | (85, 70)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 36.410000 | 36        | 37        | 115       | 0.0011    | (107, 93) | (108, 129)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 39.640000 | 38        | 184       | 276       | 0.0054    | (41, 148) | (37, 110) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 36.200000 | 28        | 188       | 295       | 0.0057    | (170, 92) | (150, 120)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 38.150000 | 32        | 257       | 348       | 0.0076    | (73, 128) | (88, 160) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 41.560000 | 35        | 199       | 289       | 0.0058    | (77, 101) | (49, 124) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 42.150000 | 36        | 378       | 486       | 0.0113    | (124, 162)| (109, 126)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 43.300000 | 31        | 32        | 158       | 0.0012    | (99, 119) | (129, 150)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 41.870000 | 39        | 222       | 300       | 0.0062    | (13, 94)  | (25, 128) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 43.610000 | 35        | 335       | 440       | 0.0101    | (64, 178) | (99, 199) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 43.640000 | 42        | 156       | 249       | 0.0046    | (135, 139)| (93, 143) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 43.070000 | 32        | 181       | 297       | 0.0057    | (167, 234)| (194, 266)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 40.150000 | 34        | 461       | 579       | 0.0135    | (105, 101)| (79, 94)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 42.460000 | 40        | 227       | 293       | 0.0064    | (150, 118)| (144, 158)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 41.870000 | 39        | 290       | 392       | 0.0086    | (95, 140) | (134, 147)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 44.690000 | 41        | 283       | 376       | 0.0081    | (97, 97)  | (106, 56) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 44.280000 | 41        | 357       | 448       | 0.0101    | (79, 163) | (95, 182) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 43.970000 | 37        | 372       | 464       | 0.0106    | (61, 151) | (44, 114) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 45.710000 | 33        | 90        | 222       | 0.0029    | (119, 149)| (86, 118) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 44.970000 | 38        | 403       | 515       | 0.0112    | (75, 91)  | (112, 99) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 45.330000 | 40        | 483       | 587       | 0.014     | (151, 115)| (162, 155)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 43.560000 | 37        | 363       | 454       | 0.0106    | (110, 118)| (93, 82)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 46.660000 | 36        | 341       | 473       | 0.0107    | (90, 155) | (116, 119)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 45.430000 | 36        | 342       | 453       | 0.0103    | (103, 166)| (67, 143) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 45.560000 | 39        | 423       | 534       | 0.0155    | (159, 134)| (175, 95) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 50.530000 | 37        | 182       | 318       | 0.0058    | (121, 60) | (88, 97)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 51.870000 | 49        | 387       | 502       | 0.0115    | (122, 145)| (73, 152) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 49.560000 | 43        | 441       | 562       | 0.0129    | (76, 184) | (118, 201)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 51.690000 | 48        | 398       | 492       | 0.0115    | (136, 251)| (88, 260) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 51.460000 | 49        | 256       | 337       | 0.0072    | (146, 125)| (152, 174)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 47.970000 | 41        | 465       | 581       | 0.0139    | (43, 102) | (84, 85)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 48.510000 | 44        | 300       | 396       | 0.0087    | (57, 78)  | (101, 67) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 49.920000 | 45        | 354       | 459       | 0.0104    | (147, 78) | (102, 66) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 51.610000 | 43        | 388       | 503       | 0.0118    | (17, 130) | (60, 109) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 49.940000 | 36        | 99        | 243       | 0.0033    | (107, 103)| (71, 137) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 52.920000 | 48        | 349       | 469       | 0.0104    | (109, 114)| (121, 66) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 52.510000 | 48        | 570       | 713       | 0.0177    | (119, 161)| (90, 191) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 55.870000 | 53        | 415       | 539       | 0.0123    | (131, 150)| (78, 143) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 53.100000 | 49        | 1127      | 1287      | 0.033     | (112, 126)| (120, 93) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 52.480000 | 41        | 389       | 526       | 0.0117    | (98, 97)  | (139, 125)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 55.820000 | 55        | 79        | 183       | 0.0023    | (159, 167)| (157, 112)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 54.560000 | 48        | 444       | 574       | 0.0124    | (118, 102)| (84, 100) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 54.920000 | 50        | 348       | 467       | 0.0097    | (74, 128) | (84, 178) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 53.480000 | 42        | 318       | 442       | 0.0093    | (55, 119) | (88, 82)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 53.350000 | 39        | 204       | 348       | 0.0064    | (101, 166)| (138, 129)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 56.070000 | 45        | 401       | 532       | 0.0119    | (163, 137)| (135, 93) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 58.380000 | 51        | 520       | 626       | 0.0149    | (93, 95)  | (42, 113) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 59.120000 | 46        | 461       | 585       | 0.0141    | (116, 60) | (148, 106)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 57.150000 | 51        | 655       | 798       | 0.0195    | (92, 159) | (122, 195)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 56.580000 | 41        | 163       | 315       | 0.0053    | (146, 102)| (105, 64) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 56.070000 | 45        | 493       | 651       | 0.0154    | (109, 198)| (154, 171)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 56.020000 | 47        | 637       | 788       | 0.0192    | (71, 198) | (94, 152) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 58.150000 | 52        | 686       | 822       | 0.0207    | (132, 112)| (80, 127) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 56.870000 | 54        | 943       | 1072      | 0.0268    | (62, 89)  | (103, 103)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 56.020000 | 47        | 495       | 608       | 0.0144    | (117, 107)| (93, 66)  | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 61.560000 | 55        | 1009      | 1114      | 0.0301    | (137, 150)| (111, 183)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 60.740000 | 55        | 746       | 863       | 0.0214    | (67, 243) | (102, 227)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 61.150000 | 55        | 552       | 714       | 0.0162    | (115, 92) | (65, 100) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 59.970000 | 53        | 304       | 421       | 0.0088    | (117, 260)| (65, 278) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 59.300000 | 47        | 719       | 891       | 0.023     | (103, 208)| (140, 168)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 61.690000 | 58        | 553       | 693       | 0.0166    | (82, 143) | (140, 134)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 60.330000 | 55        | 467       | 623       | 0.0138    | (70, 184) | (125, 179)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 61.660000 | 51        | 727       | 844       | 0.0211    | (59, 105) | (110, 93) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 62.070000 | 51        | 669       | 794       | 0.0195    | (84, 96)  | (127, 111)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 60.890000 | 49        | 1292      | 1399      | 0.0385    | (52, 154) | (84, 176) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 66.690000 | 63        | 1810      | 1964      | 0.0614    | (89, 145) | (77, 171) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 66.940000 | 53        | 876       | 1029      | 0.0288    | (116, 139)| (78, 188) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 67.790000 | 60        | 792       | 923       | 0.0264    | (61, 269) | (121, 250)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 66.120000 | 53        | 1812      | 2010      | 0.0561    | (115, 119)| (78, 101) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 64.070000 | 53        | 832       | 987       | 0.0259    | (97, 77)  | (44, 104) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 65.560000 | 59        | 984       | 1202      | 0.0297    | (109, 98) | (159, 99) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 67.120000 | 54        | 849       | 1018      | 0.0264    | (136, 187)| (168, 133)| ./example/gridmap/arena2.map| Hidden              
