"Framework","Strategy","Status","Cost","Depth","Nodes(exp)","Nodes(gen)","Re-Exp","1st Sol T","Runtime","start","goal","Problem","Solution"
"graph","a-star","Optimal","34.840000","25","129","128","0","0.001","0.0035","(70, 277)","(45, 253)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","37.280000","34","585","278","306","0.0014","0.017","(53, 146)","(61, 112)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","39.000000","39","123","122","0","0.0014","0.0035","(123, 183)","(123, 144)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","39.430000","30","310","229","80","0.0013","0.009","(136, 165)","(166, 142)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","36.640000","35","239","185","53","0.0014","0.0072","(104, 66)","(100, 101)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","38.560000","32","311","231","79","0.0015","0.0089","(120, 106)","(100, 84)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","37.050000","35","315","218","96","0.0015","0.018","(120, 65)","(85, 70)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","36.410000","36","117","115","1","0.0046","0.0136","(107, 93)","(108, 129)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","39.640000","38","276","203","72","0.0037","0.0259","(41, 148)","(37, 110)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","36.200000","28","280","210","69","0.0024","0.0236","(170, 92)","(150, 120)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","38.150000","32","779","278","500","0.0034","0.0659","(73, 128)","(88, 160)","./example/gridmap/arena2.map","Hidden"
